coun_dist,zipcode
28,11436
41,11213
35,11213
36,11213
2,10002
4,10002
1,10002
26,11378
34,11378
30,11378
6,10069
41,11212
42,11212
37,11212
41,11225
40,11225
35,11225
39,11225
44,11218
40,11218
38,11218
39,11218
6,10023
3,10023
4,10023
40,11226
45,11226
39,11226
43,11219
44,11219
38,11219
39,11219
19,11363
48,11210
40,11210
45,11210
44,11230
48,11230
40,11230
45,11230
39,11230
43,11204
44,11204
47,11204
38,11204
39,11204
11,10471
6,10028
5,10028
4,10028
19,11354
20,11354
11,10470
12,10470
7,10031
9,10031
11,10466
12,10466
1,10007
11,10467
15,10467
12,10467
13,10467
11,10463
14,10463
10,10463
12,10475
13,10475
12,10464
13,10464
12,10469
13,10469
11,10468
14,10468
15,10468
11,10463
14,10463
10,10463
11,10458
14,10458
15,10458
10,10034
10,10033
11,10462
18,10462
15,10462
13,10462
10,10040
14,10453
15,10453
16,10453
13,10465
13,10464
13,10464
18,10461
13,10461
9,10039
10,10039
14,10457
15,10457
16,10457
17,10457
18,10460
15,10460
13,10460
16,10460
17,10460
7,10032
9,10032
10,10032
14,10452
15,10452
8,10452
16,10452
7,10030
9,10030
14,10456
8,10456
16,10456
17,10456
18,10472
17,10472
1,10048
6,10025
7,10025
9,10025
8,10459
16,10459
17,10459
8,10451
16,10451
17,10451
18,10473
17,10473
19,11357
20,11357
7,10027
9,10027
18,10474
17,10474
6,10029
5,10029
8,10029
9,10029
4,10029
8,10455
17,10455
1,10006
8,10037
9,10037
6,10024
7,10024
8,10454
17,10454
6,10026
7,10026
9,10026
8,10035
9,10035
6,00083
7,00083
8,00083
9,00083
4,00083
19,11356
19,11359
19,11360
22,11105
6,10128
5,10128
8,10128
4,10128
1,10004
26,11102
22,11102
19,11358
20,11358
25,11370
21,11370
22,11370
6,10021
5,10021
4,10021
23,11362
19,11362
5,10044
23,11005
25,11369
21,11369
22,11369
26,11103
22,11103
5,10017
4,10017
26,11106
22,11106
24,11368
19,11368
20,11368
25,11368
29,11368
21,11368
3,10001
2,10001
4,10001
26,11377
25,11377
30,11377
22,11377
24,11355
20,11355
26,11101
22,11101
4,11101
3,10011
2,10011
1,10011
23,11364
19,11364
20,11364
3,10018
4,10018
4,10020
2,10016
4,10016
26,11104
26,11109
3,10010
2,10010
4,10010
3,10014
1,10014
24,11367
20,11367
29,11367
3,10003
2,10003
1,10003
34,11222
33,11222
4,11222
2,10009
4,10009
1,10009
3,10012
2,10012
1,10012
3,10013
1,10013
34,11237
37,11237
30,11237
34,11385
37,11385
30,11385
32,11385
29,11385
40,11238
35,11238
36,11238
39,11238
33,11231
1,11231
38,11231
39,11231
1,10038
34,11206
36,11206
33,11206
27,11412
1,10005
38,11231
38,11232
39,11232
28,11430
31,11430
32,11430
35,11251
33,11251
1,10281
1,10004
27,11411
31,11411
35,11201
33,11201
2,11201
1,11201
39,11201
35,11205
36,11205
33,11205
42,11208
37,11208
30,11208
32,11208
35,11217
33,11217
39,11217
41,11207
42,11207
37,11207
46,11207
30,11207
1,10280
1,10004
1,10282
34,11211
33,11211
1,10004
27,11413
28,11413
31,11413
4,10170
4,10112
3,10122
3,10107
27,11422
31,11422
4,10103
4,10174
28,11420
31,11420
32,11420
28,11417
37,11417
32,11417
4,10166
40,11215
35,11215
38,11215
39,11215
1,10041
3,10120
41,11203
40,11203
35,11203
45,11203
42,11239
46,11239
32,11239
41,11236
42,11236
45,11236
46,11236
43,11220
38,11220
49,10301
50,10301
49,10303
50,10303
45,11234
46,11234
26,11372
25,11372
21,11372
49,10302
50,10302
42,11693
31,11693
32,11693
43,11209
49,10304
50,10304
49,10314
50,10314
51,10314
1,10278
4,10155
1,10043
1,10081
4,10096
43,11228
31,11096
49,10305
50,10305
44,11229
48,11229
45,11229
46,11229
43,11214
44,11214
47,11214
31,11691
31,11096
3,10097
4,10196
44,11223
47,11223
48,11223
42,11693
32,11693
31,11692
32,11692
47,11235
48,11235
46,11235
31,11693
32,11693
50,10306
51,10306
32,11694
47,11224
48,11224
51,10308
32,11697
51,10312
51,10309
51,10307
4,10196
1,10275
1,10265
1,10045
23,11004
23,11040
24,11365
23,11365
20,11365
2,10047
23,11426
23,11001
2,10047
1,10080
24,11375
30,11375
29,11375
21,11375
1,10203
1,10259
1,10260
1,10285
1,10286
8,10035
23,11427
6,10022
5,10022
4,10022
22,11370
25,11374
30,11374
29,11374
21,11374
24,11366
23,11366
21,11371
22,11371
23,11361
19,11361
20,11361
24,11423
23,11423
27,11423
23,11428
27,11428
24,11432
23,11432
27,11432
30,11415
29,11415
30,11379
29,11379
23,11429
27,11429
24,11435
27,11435
28,11435
29,11435
28,11416
37,11416
30,11416
32,11416
28,11418
30,11418
32,11418
29,11418
6,10065
5,10065
4,10065
24,11433
27,11433
28,11433
27,11451
28,11451
5,10075
4,10075
3,10036
4,10036
41,11221
34,11221
36,11221
37,11221
37,11421
30,11421
32,11421
42,11414
37,11414
31,11414
32,11414
49,10310
50,10310
28,11419
32,11419
29,11419
41,11233
36,11233
37,11233
4,10055
27,11434
28,11434
31,11434
35,11216
36,11216
42,11693
6,10019
3,10019
4,10019
4,10111
4,10153
4,10154
4,10152
7,10115
34,11249
33,11249
2,11249
4,11249
5,10162
3,10119
25,11373
30,11373
29,11373
21,11373
1,10279
4,10165
4,10168
4,10105
4,10118
4,10176
4,10169
4,10167
4,10177
4,10172
4,10171
1,10270
4,10104
1,10271
4,10110
4,10175
4,10151
4,10173
4,10178
3,10121
3,10123
4,10106
4,10158
